Affix,Type_x,Origin,Type_y,TotalFrequency
rhig,prefix,Greek,prefix,0
rhino,prefix,Greek,prefix,4102283
rhizo,prefix,Greek,prefix,853945
rho,prefix,Greek,prefix,29010015
rhodo,prefix,Greek,prefix,1207123
rhomb,prefix,Greek,prefix,348763
rhyncho,prefix,Greek,prefix,15098
ric,suffix,Unspecified,suffix,247716123
ridi,prefix,Latin,prefix,21130129
right,prefix,Unspecified,prefix,635452057
right,prefix,Unspecified,suffix,700099870
right,suffix,Unspecified,prefix,635452057
right,suffix,Unspecified,suffix,700099870
riparia,prefix,Unspecified,prefix,1624356
arium,suffix,Unspecified,suffix,10207977
riv,prefix,Unspecified,prefix,126787191
robor,prefix,Latin,prefix,87010
rock,prefix,Unspecified,prefix,163473956
rod,prefix,Latin,prefix,44578400
roentgeno,prefix,Unspecified,prefix,74188
rogat,prefix,Latin,prefix,15207
rostr,prefix,Latin,prefix,367836
rota,prefix,Latin,prefix,26058381
rough,prefix,Unspecified,prefix,20273522
round,prefix,Unspecified,prefix,85089238
rou,prefix,Unspecified,prefix,236230680
roy,prefix,Unspecified,prefix,79028546
ruber,prefix,Latin,prefix,140125
rudi,prefix,Latin,prefix,1516855
rug,prefix,Latin,prefix,33156687
rumen,prefix,Latin,prefix,232472
rump,prefix,Latin,prefix,1267376
rur,prefix,Latin,prefix,32180788
rust,prefix,Unspecified,prefix,11401455
ry,suffix,Unspecified,suffix,5697962403
s,suffix,Unspecified,suffix,84468484631
s,suffix,Unspecified,suffix,84468484631
sacchari,prefix,Greek,prefix,262985
sacc,prefix,Greek,prefix,2649181
sacro,prefix,Unspecified,prefix,258490
sacr,prefix,Latin,prefix,37827865
sagac,prefix,Latin,prefix,180337
sagitta,prefix,Latin,prefix,1174546
sali,prefix,Latin,prefix,15439017
salic,prefix,Latin,prefix,714370
salping,prefix,Greek,prefix,16262
salut,prefix,Latin,prefix,3437566
sal,prefix,Latin,prefix,550113855
san,suffix,Unspecified,suffix,194779541
sanct,prefix,Latin,prefix,15855930
sanguin,prefix,Latin,prefix,503476
sanit,prefix,Latin,prefix,9954294
sapi,prefix,Latin,prefix,3658557
sapon,prefix,Latin,prefix,204969
sapphir,prefix,"Greek, Hebrew",prefix,6272215
sapro,prefix,Greek,prefix,35679
sarco,prefix,Latin,prefix,1667961
sartor,prefix,Latin,prefix,483455
satis,prefix,Latin,prefix,59277264
satur,prefix,Unspecified,prefix,83321515
sault,suffix,Unspecified,suffix,11588117
saur,prefix,Greek,prefix,888574
sax,prefix,Latin,prefix,10359102
scab,prefix,Latin,prefix,1097610
scal,prefix,Latin,prefix,79214714
scalen,prefix,Greek,prefix,17299
scand,prefix,Latin,prefix,11639349
scandal,prefix,Greek,prefix,6087585
scap,prefix,Greek,prefix,1626461
scapho,prefix,Greek,prefix,28130
scato,prefix,Greek,prefix,54056
sced,prefix,Greek,prefix,21659
scel,prefix,Greek,prefix,227515
scen,prefix,Greek,prefix,77556151
scept,prefix,Greek,prefix,1770298
schem,prefix,Greek,prefix,50747785
schid,prefix,Greek,prefix,0
scind,prefix,Latin,prefix,17782
schizo,prefix,Unspecified,prefix,3618176
sci,prefix,Latin,prefix,326766791
sclera,prefix,Greek,prefix,139602
scolec,prefix,Greek,prefix,0
scoli,prefix,Greek,prefix,391928
scombr,prefix,Greek,prefix,0
scope,prefix,Greek,prefix,25796095
score,suffix,Unspecified,suffix,71444290
scoto,prefix,Greek,prefix,31103
scrib,prefix,Latin,prefix,4283564
scrupl,prefix,Latin,prefix,233704
scrut,prefix,Unspecified,prefix,4975753
sculp,prefix,Latin,prefix,14240595
scut,prefix,Latin,prefix,680900
scyphi,prefix,Greek,prefix,0
sea,suffix,Unspecified,suffix,78322091
seba,prefix,Latin,prefix,6593797
sec,prefix,Latin,prefix,1096033994
sed,prefix,Latin,prefix,33159062
sedec,prefix,Latin,prefix,0
seget,prefix,Latin,prefix,0
seismo,prefix,Greek,prefix,840723
seleno,prefix,Greek,prefix,79552
self,prefix,Unspecified,prefix,117412761
sella,prefix,Latin,prefix,598162
sema,prefix,Greek,prefix,11622018
sembl,prefix,Unspecified,prefix,584559
semio,prefix,Greek,prefix,633142
semi,prefix,Latin,prefix,76010114
semin,prefix,Latin,prefix,38919185
senti,prefix,Latin,prefix,10276709
sen,prefix,Unspecified,prefix,711759898
septen,prefix,Latin,prefix,36141
septim,prefix,Latin,prefix,127048
septuagen,prefix,Latin,prefix,19431
septuagesim,prefix,Latin,prefix,0
septuagint,prefix,Latin,prefix,858613
sep- ,prefix,Greek,prefix,0
sequ,prefix,Latin,prefix,63637728
seric,prefix,Unspecified,prefix,157723
seri,prefix,Unspecified,prefix,255542041
serot,prefix,Latin,prefix,1977484
sero,prefix,Unspecified,prefix,4381466
serp,prefix,Latin,prefix,3238518
serr,prefix,Latin,prefix,2817353
sert,suffix,Unspecified,suffix,44432821
serv,prefix,Latin,prefix,1430200172
sesqui,prefix,Latin,prefix,200625
set,prefix,Latin,prefix,543934687
sever,prefix,Latin,prefix,141011849
sex,prefix,Latin,prefix,496573311
sexagen,prefix,Latin,prefix,0
sexagesim,prefix,Latin,prefix,0
sext,prefix,Latin,prefix,3522612
sec,prefix,Latin,prefix,1096033994
sharp,prefix,Unspecified,prefix,37229663
ship,suffix,Unspecified,suffix,382616800
shod,suffix,Unspecified,suffix,333073
short,prefix,Unspecified,prefix,169918593
sibil,prefix,Latin,prefix,212556
sicc,prefix,Latin,prefix,80635
sick,suffix,Unspecified,suffix,17454460
sicy,prefix,Greek,prefix,0
sider,prefix,Latin,prefix,1181832
side,prefix,Unspecified,prefix,180895487
sigm,prefix,Greek,prefix,13461818
sign,prefix,Latin,prefix,522856849
silic,prefix,Unspecified,prefix,16474500
sil,prefix,Latin,prefix,175995057
silv,prefix,Latin,prefix,93122205
simil,prefix,Latin,prefix,138659085
simi,prefix,Latin,prefix,140531560
sinap,prefix,Greek,prefix,17304
sine,prefix,Unspecified,prefix,2920277
single,prefix,Unspecified,prefix,169392718
singul,prefix,Latin,prefix,4858062
sinistr,prefix,Latin,prefix,69627
sinu,prefix,Latin,prefix,3258536
sinus,prefix,Latin,prefix,3056484
sion,suffix,Unspecified,suffix,1435480474
siop,prefix,Greek,prefix,114373
siphono,prefix,Greek,prefix,0
sist,suffix,Latin,suffix,49600542
sis,suffix,Unspecified,suffix,379460712
sito,prefix,Greek,prefix,1319938
sive,suffix,Unspecified,suffix,272076258
siz,prefix,Greek,prefix,262683141
small,prefix,Unspecified,prefix,244604768
smaragd,prefix,Greek,prefix,23465
smil,prefix,Greek,prefix,35406722
smith,suffix,Unspecified,suffix,74955590
smoke,prefix,Unspecified,prefix,27895727
smooth,prefix,Unspecified,prefix,27103510
snow,prefix,Unspecified,prefix,64605838
socio,prefix,Latin,prefix,16408661
soft,prefix,Unspecified,prefix,439155792
solar,prefix,Unspecified,prefix,33204061
sol,prefix,Latin,prefix,482373378
sole,prefix,Latin,prefix,31447626
solen,prefix,Greek,prefix,1734346
solv,prefix,Latin,prefix,40454049
somato,prefix,Greek,prefix,528415
some,suffix,Unspecified,suffix,592136407
somn,prefix,Latin,prefix,227893
somni,prefix,Latin,prefix,34284
sono,prefix,Latin,prefix,7364431
soph,prefix,Greek,prefix,21398949
sopor,prefix,Latin,prefix,215115
sorb,prefix,Latin,prefix,1627302
sord,prefix,Latin,prefix,377314
soror,prefix,Latin,prefix,2430294
sort,suffix,Unspecified,suffix,132437152
soul,prefix,Unspecified,prefix,43010149
south,prefix,Unspecified,prefix,346509689
spad,prefix,Greek,prefix,3943715
sparg,prefix,Latin,prefix,131434
spath,prefix,Greek,prefix,142705
space,prefix,Latin,prefix,149900144
spa,prefix,Greek,prefix,459874046
speak,suffix,Unspecified,suffix,32453740
speci,prefix,Unspecified,prefix,708816468
spectro,prefix,Latin,prefix,7896499
speir,prefix,Greek,prefix,94135
spele,prefix,Greek,prefix,280713
spelyng,prefix,Greek,prefix,0
spend,prefix,Greek,prefix,49256063
sper,prefix,Latin,prefix,13646901
spermato,prefix,Greek,prefix,532582
sphal,prefix,Greek,prefix,48488
spheno,prefix,Greek,prefix,78047
sphere,prefix,Greek,prefix,7446279
sphing,prefix,Greek,prefix,228494
sphondyl,prefix,Greek,prefix,0
sphrag,prefix,Greek,prefix,0
sphyg,prefix,Greek,prefix,92332
spic,prefix,Latin,prefix,15279603
spin,prefix,Latin,prefix,41660253
spiro,prefix,Latin,prefix,969759
splen,prefix,Greek,prefix,5467577
spondyl,prefix,Greek,prefix,332429
spond,prefix,Latin,prefix,755925
spongio,prefix,Unspecified,prefix,0
sporo,prefix,Greek,prefix,88239
spu,prefix,Latin,prefix,13331319
squal,prefix,Latin,prefix,842397
squam,prefix,Latin,prefix,1078797
squarros,prefix,Latin,prefix,16814
step,prefix,Unspecified,prefix,177711421
stagn,prefix,Latin,prefix,1538838
stair,suffix,Unspecified,suffix,3780820
stala,prefix,Greek,prefix,227420
stalsis,suffix,Unspecified,suffix,52829
stann,prefix,Latin,prefix,246633
stant,suffix,Unspecified,suffix,107972037
staphylo,prefix,Greek,prefix,1092730
statu,prefix,Latin,prefix,167523332
steat,prefix,Greek,prefix,80937
stega,prefix,Greek,prefix,285724
stell,prefix,Latin,prefix,8791070
stichous,suffix,Unspecified,suffix,0
stol,prefix,Greek,prefix,12392012
steno,prefix,Greek,prefix,1437050
ster,suffix,Unspecified,suffix,732002869
stereo,prefix,Greek,prefix,23975036
stern,prefix,Greek,prefix,6487773
stern,prefix,Latin,prefix,6487773
steth,prefix,Greek,prefix,739891
sthen,prefix,Greek,prefix,87910
stich,prefix,Greek,prefix,828372
stigma,prefix,Greek,prefix,1876350
still,prefix,Latin,prefix,197085542
stimul,prefix,Latin,prefix,20330306
stin,prefix,Latin,prefix,10840244
stoch,prefix,Greek,prefix,2956981
stomato,prefix,Greek,prefix,58686
stood,suffix,Unspecified,suffix,24612449
stor,prefix,Greek,prefix,848701990
strain,prefix,Unspecified,prefix,16342857
strat,prefix,Greek,prefix,146268871
streper,prefix,Latin,prefix,0
streph,prefix,Greek,prefix,0
strepto,prefix,Greek,prefix,2046404
stress,suffix,Unspecified,suffix,37629113
strig,prefix,Latin,prefix,95107
strigos,prefix,Latin,prefix,0
string,prefix,Latin,prefix,69803093
stroph,prefix,Greek,prefix,34328
struct,prefix,Latin,prefix,133049351
struck,suffix,Unspecified,suffix,9200297
strung,suffix,Unspecified,suffix,1328163
stud,prefix,Latin,prefix,717651084
stup,prefix,Latin,prefix,17473344
styg,prefix,Greek,prefix,106442
styli,prefix,Greek,prefix,17607791
suad,prefix,Latin,prefix,18718
suav,prefix,Latin,prefix,367703
sub,prefix,Latin,prefix,1081167597
subter,prefix,Latin,prefix,848691
sucr,prefix,Latin,prefix,1391491
suc,prefix,Latin,prefix,591466484
sud,prefix,Latin,prefix,37368746
sui,prefix,Latin,prefix,151957817
sulc,prefix,Latin,prefix,157751
sult,suffix,Unspecified,suffix,141710495
summ,prefix,Latin,prefix,195303443
sumptu,prefix,Unspecified,prefix,708242
sumpt,prefix,Latin,prefix,1069443
super,prefix,Latin,prefix,212201872
supin,prefix,Latin,prefix,251702
supra,prefix,Latin,prefix,5093425
surd,prefix,Latin,prefix,28174
surg,prefix,Latin,prefix,71134971
sur,prefix,Unspecified,prefix,563004145
su,prefix,Latin,prefix,4517450174
sweet,prefix,Unspecified,prefix,45925677
swept,suffix,Unspecified,suffix,2785592
sybar,prefix,Greek,prefix,82404
syco,prefix,Greek,prefix,186384
synchro,prefix,Unspecified,prefix,12314214
syn,prefix,Greek,prefix,137301279
sy,suffix,Unspecified,suffix,347538957
syring,prefix,Greek,prefix,2032799
tacho,prefix,Greek,prefix,694100
tact,prefix,Unspecified,prefix,14954994
tac,prefix,Latin,prefix,44864507
taeni,prefix,Greek,prefix,43505
tag,prefix,Greek,prefix,91312914
tain,suffix,Unspecified,suffix,306272006
talus,prefix,Latin,prefix,171330
tang,prefix,Latin,prefix,16581788
tapet,prefix,Latin,prefix,1211668
taph,suffix,Unspecified,suffix,737339
tarac-,prefix,Greek,prefix,0
tard,prefix,Latin,prefix,1427612
tars,prefix,Greek,prefix,642790
tastic,suffix,Unspecified,suffix,17826136
tast,prefix,Unspecified,prefix,33218331
tauro,prefix,Latin,prefix,101716
tauto,prefix,Unspecified,prefix,275757
taxi,prefix,Greek,prefix,12324783
tear,prefix,Unspecified,prefix,18004058
tec-,prefix,Greek,prefix,0
tec,prefix,Greek,prefix,638966221
technic,prefix,Greek,prefix,123887961
tecn-,prefix,Greek,prefix,0
tect,suffix,Unspecified,suffix,55454938
teen,suffix,Unspecified,suffix,207267200
teleo,prefix,Greek,prefix,395806
tele,prefix,Unspecified,prefix,229456954
tellur,prefix,Unspecified,prefix,1086849
tem,prefix,Greek,prefix,193731478
temn,prefix,Latin,prefix,0
tempor,prefix,Latin,prefix,32612166
tend,prefix,Latin,prefix,46396668
tenu,prefix,Latin,prefix,7641617
tene,prefix,Latin,prefix,5000841
tephro,prefix,Unspecified,prefix,15696
tep,prefix,Latin,prefix,2034837
tera,prefix,Unspecified,prefix,4155666
ter,prefix,Latin,prefix,642152178
tere,prefix,Greek,prefix,6203322
teret,prefix,Latin,prefix,17734
terg,prefix,Latin,prefix,47441
teria,suffix,Unspecified,suffix,45767365
termina,prefix,Latin,prefix,52532917
tern,prefix,Latin,prefix,1765127
terra,prefix,Latin,prefix,23977885
terri,prefix,Unspecified,prefix,62249681
terti,prefix,Latin,prefix,2773719
testat,prefix,Latin,prefix,264492
tetart,prefix,Greek,prefix,17374
tetra,prefix,Greek,prefix,4196178
teuch,prefix,Greek,prefix,39676
tex,prefix,Latin,prefix,428771583
th,suffix,Unspecified,suffix,5858333212
thalam,prefix,Greek,prefix,381687
thalasso,prefix,Greek,prefix,143930
thallo,prefix,Unspecified,prefix,0
thanato,prefix,Greek,prefix,95251
thaumato,prefix,Greek,prefix,0
thei,prefix,Greek,prefix,786803948
thea,prefix,Greek,prefix,83290392
thel,prefix,Greek,prefix,2836329
theori,prefix,Greek,prefix,11025724
therap,prefix,Greek,prefix,62233238
therio,prefix,Unspecified,prefix,324006
therma,prefix,Greek,prefix,16898829
ther,prefix,Greek,prefix,904502185
the-,prefix,Greek,prefix,0
thick,prefix,Unspecified,prefix,24651116
thigmo,prefix,Greek,prefix,0
thorac,prefix,Greek,prefix,1600556
three,prefix,Unspecified,prefix,237184043
thrombo,prefix,Unspecified,prefix,2447588
thym,prefix,Greek,prefix,2657018
thyr,prefix,Greek,prefix,4705544
thyre,prefix,Greek,prefix,0
tic,suffix,Unspecified,suffix,680341585
tid,prefix,Unspecified,prefix,17914067
tight,prefix,Unspecified,prefix,29198584
tim,prefix,Latin,prefix,1251988738
ting,prefix,Latin,prefix,3592776
tion,suffix,Unspecified,suffix,9229377557
tire,prefix,Unspecified,prefix,30131050
titano,prefix,Unspecified,prefix,27035
tive,suffix,Unspecified,suffix,1262473744
toler,prefix,Unspecified,prefix,15804518
tom,prefix,Greek,prefix,121995915
tono,prefix,Greek,prefix,969933
topo- ,prefix,Greek,prefix,0
torn,prefix,"Latin, Greek",prefix,7754685
torpe,prefix,Latin,prefix,1340552
torqu,prefix,Latin,prefix,5630723
torre,prefix,Unspecified,prefix,12247151
torr,prefix,Unspecified,prefix,16103111
tort,prefix,Unspecified,prefix,23767307
tot,prefix,Latin,prefix,282836229
town,prefix,Unspecified,prefix,128921773
toxi,prefix,Greek,prefix,21624525
trab,prefix,Latin,prefix,1972442
tracheo,prefix,Greek,prefix,383957
trag,prefix,Greek,prefix,10796166
trah,prefix,Latin,prefix,122145
trans,prefix,Latin,prefix,626435468
trapez,prefix,Greek,prefix,868363
traum,prefix,Greek,prefix,9046465
treat,prefix,Unspecified,prefix,170104235
trecent,prefix,Latin,prefix,0
trech,prefix,Greek,prefix,0
tredec,prefix,Latin,prefix,0
tree,prefix,Unspecified,prefix,89699295
treiskaidek,prefix,Greek,prefix,0
trem,prefix,Latin,prefix,26988480
trema,prefix,Greek,prefix,373406
treph,prefix,Greek,prefix,0
trepid,prefix,Latin,prefix,236561
trep,prefix,Greek,prefix,415933
tri,prefix,"Latin, Greek",prefix,478850956
trich,prefix,Unspecified,prefix,1611801
tribo,prefix,Greek,prefix,304016
tribut,prefix,Latin,prefix,11541564
tricen,prefix,Latin,prefix,13373
tricesim,prefix,Latin,prefix,0
tricho,prefix,Greek,prefix,508640
tric,prefix,Unspecified,prefix,30288031
trin,prefix,Latin,prefix,21425560
trit- ,prefix,Greek,prefix,0
tritic,prefix,Latin,prefix,302227
trix,suffix,Unspecified,suffix,35775820
troche,prefix,Greek,prefix,39531
tron,suffix,Unspecified,suffix,28322607
trop,prefix,Greek,prefix,29080612
tropho,prefix,Greek,prefix,190968
truc,prefix,Latin,prefix,54644359
trud,prefix,Latin,prefix,1604224
trunc,prefix,Latin,prefix,3031455
tryp,prefix,Greek,prefix,2112553
tub,prefix,Latin,prefix,50130872
tuit,prefix,Unspecified,prefix,9985740
tuple,suffix,Unspecified,suffix,1537232
tum,prefix,Latin,prefix,23018431
tude,suffix,Unspecified,suffix,49152245
turba,prefix,Latin,prefix,493065
tuss,prefix,Latin,prefix,931276
tut,prefix,Unspecified,prefix,51935825
twi,prefix,Unspecified,prefix,117654623
tymb,prefix,Greek,prefix,0
tympan,prefix,Greek,prefix,154480
typh,prefix,Greek,prefix,2817362
typo,prefix,Greek,prefix,6623591
tyrann,prefix,Greek,prefix,2388649
ty,suffix,Unspecified,suffix,4825098145
uated,suffix,Unspecified,suffix,30230852
uber,prefix,Latin,prefix,2399516
ual,suffix,Unspecified,suffix,649852782
uble,suffix,Unspecified,suffix,106926857
ula,suffix,Unspecified,suffix,56636346
ulent,suffix,Unspecified,suffix,5680058
uligin,prefix,Latin,prefix,0
ultimat,prefix,Latin,prefix,41108475
ultra,prefix,Latin,prefix,43833109
ulus,suffix,Unspecified,suffix,12043602
ul,prefix,Greek,prefix,114845579
um,suffix,Unspecified,suffix,1186243316
umbilic,prefix,Latin,prefix,835597
umber,prefix,Latin,prefix,742662
unc,prefix,Latin,prefix,88277341
unci,prefix,Latin,prefix,984788
uncle,suffix,Unspecified,suffix,8309580
under,prefix,Unspecified,prefix,597253294
und,prefix,Latin,prefix,669181821
ungu,prefix,Latin,prefix,454290
un,prefix,Latin,prefix,2766606980
un,prefix,Unspecified,prefix,2766606980
una,prefix,Latin,prefix,80627395
uous,suffix,Unspecified,suffix,37055146
up,prefix,Unspecified,prefix,1503597452
urano,prefix,Greek,prefix,25842
urb,prefix,Latin,prefix,45463843
ure,suffix,Unspecified,suffix,1848959205
urg,prefix,Latin,prefix,25569064
uric,suffix,Unspecified,suffix,1459615
urnal,suffix,Unspecified,suffix,120986031
uro,prefix,Unspecified,prefix,4023204
urs,prefix,Latin,prefix,3065322
ur,prefix,Greek,prefix,255334137
uter,prefix,Unspecified,prefix,3224193
ute,suffix,Unspecified,suffix,342380540
util,prefix,Latin,prefix,99487770
us,suffix,Unspecified,suffix,3250365857
ution,suffix,Unspecified,suffix,378848100
uv,prefix,Latin,prefix,14022976
uxor,prefix,Latin,prefix,23198
vac,prefix,Latin,prefix,130000434
vacc,prefix,Latin,prefix,15798179
vacil,prefix,Latin,prefix,139537
vade,prefix,Latin,prefix,1643386
vag,prefix,Latin,prefix,18239008
vail,suffix,Unspecified,suffix,9240750
vale,prefix,Latin,prefix,44083323
vanq,prefix,Unspecified,prefix,540156
van,prefix,Latin,prefix,128183918
vap,prefix,Latin,prefix,7107707
vari,prefix,Latin,prefix,264395007
varic,prefix,Latin,prefix,1132019
vasa,prefix,Unspecified,prefix,416658
vated,suffix,Unspecified,suffix,25366574
veh,prefix,Latin,prefix,93730845
vell,prefix,Latin,prefix,1244591
veloc,prefix,Latin,prefix,11101017
velop,suffix,Unspecified,suffix,56514362
vela,prefix,Latin,prefix,1484863
venge,prefix,Unspecified,prefix,2611767
vent,prefix,Latin,prefix,48408562
vend,prefix,Latin,prefix,51165907
vener,prefix,Latin,prefix,1752118
vent,prefix,Latin,prefix,48408562
ventricular,suffix,Unspecified,suffix,2021153
ventr,prefix,Latin,prefix,3592534
verb,prefix,Latin,prefix,18297417
verber,prefix,Latin,prefix,13714
verd,prefix,Unspecified,prefix,15709633
vermi,prefix,Latin,prefix,2076188
vern,prefix,Latin,prefix,10921208
vers,prefix,Latin,prefix,303720653
vera,prefix,Latin,prefix,7198869
vesic,prefix,Latin,prefix,1408973
vesper,prefix,Latin,prefix,377388
vest,prefix,Latin,prefix,12215492
vestig,prefix,Latin,prefix,492273
ves,prefix,Unspecified,prefix,33177345
vet,prefix,Latin,prefix,43500339
veter,prefix,Latin,prefix,32231892
vex,prefix,Unspecified,prefix,1308879
vice,prefix,Unspecified,prefix,34786865
vict,suffix,Unspecified,suffix,1167206
vicar,prefix,Latin,prefix,1714915
vid,prefix,Latin,prefix,503093674
vigil,prefix,Latin,prefix,3663752
vill,prefix,Latin,prefix,91335327
vil,prefix,Latin,prefix,96570822
ville,suffix,Unspecified,suffix,178754072
vini,prefix,Latin,prefix,870515
vinc,prefix,Latin,prefix,20724370
virg,prefix,Latin,prefix,99088344
virgin,prefix,Latin,prefix,95918977
viru,prefix,Latin,prefix,47046781
visco,prefix,Latin,prefix,4147122
viscer,prefix,Latin,prefix,806418
vita,prefix,Latin,prefix,47916255
vitell,prefix,Latin,prefix,163005
viti,prefix,Latin,prefix,855473
vitro,prefix,Latin,prefix,5101368
viva,prefix,Latin,prefix,5094924
via,prefix,Latin,prefix,139557739
voca,prefix,Latin,prefix,35824930
volcan,prefix,Latin,prefix,7239081
volv,prefix,Latin,prefix,7935135
vole,prefix,Latin,prefix,547296
vom,prefix,Latin,prefix,4328531
vorac,prefix,Latin,prefix,270292
vov,prefix,Latin,prefix,46219
vour,suffix,Unspecified,suffix,10039793
voy,prefix,Unspecified,prefix,55372016
vulga,prefix,Latin,prefix,3033886
vulner,prefix,Latin,prefix,20859719
vulp,prefix,Latin,prefix,205209
wards,suffix,Unspecified,suffix,126435707
ware,suffix,Unspecified,suffix,619147248
war,prefix,Unspecified,prefix,479005154
waste,prefix,Unspecified,prefix,55203490
water,prefix,Unspecified,prefix,294210055
ways,suffix,Unspecified,suffix,226257583
weather,prefix,Unspecified,prefix,110103476
weight,prefix,Unspecified,prefix,107056153
well,prefix,Unspecified,prefix,405869057
west,prefix,Unspecified,prefix,301315140
white,prefix,Unspecified,prefix,234650167
whole,prefix,Unspecified,prefix,128017538
wide,prefix,Unspecified,prefix,131238466
wind,prefix,Unspecified,prefix,361793149
wise,suffix,Unspecified,suffix,83893222
with,prefix,Unspecified,prefix,3699298599
woman,suffix,Unspecified,suffix,74958330
wool,prefix,Unspecified,prefix,13714630
word,prefix,Unspecified,prefix,210368652
work,suffix,Unspecified,suffix,724357679
world,prefix,Unspecified,prefix,526802732
worn,suffix,Unspecified,suffix,9885250
worthy,suffix,Unspecified,suffix,12318603
xantho,prefix,Greek,prefix,185907
xe,prefix,Greek,prefix,29403672
xei,prefix,Greek,prefix,51125
xeno,prefix,Greek,prefix,3774600
xera,prefix,Greek,prefix,0
xipho,prefix,Greek,prefix,24534
xylo,prefix,Greek,prefix,489092
y,suffix,Unspecified,suffix,35763181677
year,suffix,Unspecified,suffix,453799847
yellow,prefix,Unspecified,prefix,87985532
yester,prefix,Unspecified,prefix,35597319
yte,suffix,Unspecified,suffix,24602822
ze,prefix,Greek,prefix,138562730
zel,prefix,Greek,prefix,6433562
zephyr,prefix,Greek,prefix,1577558
zet,prefix,Greek,prefix,3399355
zete,prefix,Greek,prefix,298336
zizyph,prefix,Greek,prefix,0
zoic,suffix,Unspecified,suffix,1019651
zon,prefix,Greek,prefix,69574882
zo,prefix,Greek,prefix,174484462
zygo,prefix,Greek,prefix,343773
zymo,prefix,Greek,prefix,146601
